"filename", "language", "Ignore", "TypeScript", "JSON with Comments", "JSON", "TypeScript JSX", "XML", "CSS", "JavaScript JSX", "Markdown", "HTML", "C#", "Properties", "comment", "blank", "total"
"c:\Git\videoportal2\frontend\src\components\Avatar\ChannelAvatar.tsx", "TypeScript JSX", 0, 0, 0, 0, 24, 0, 0, 0, 0, 0, 0, 0, 0, 3, 27
"c:\Git\videoportal2\frontend\src\components\Buttons\AvatarButton.tsx", "TypeScript JSX", 0, 0, 0, 0, 37, 0, 0, 0, 0, 0, 0, 0, 0, 3, 40
"c:\Git\videoportal2\frontend\src\components\Buttons\LinkButton.tsx", "TypeScript JSX", 0, 0, 0, 0, 21, 0, 0, 0, 0, 0, 0, 0, 0, 3, 24
"c:\Git\videoportal2\frontend\src\components\Chip\ChipEditLine.tsx", "TypeScript JSX", 0, 0, 0, 0, 158, 0, 0, 0, 0, 0, 0, 0, 0, 9, 167
"c:\Git\videoportal2\frontend\src\components\Chip\ChipLine.tsx", "TypeScript JSX", 0, 0, 0, 0, 35, 0, 0, 0, 0, 0, 0, 0, 1, 3, 39
"c:\Git\videoportal2\frontend\src\components\Chip\CustomChip.tsx", "TypeScript JSX", 0, 0, 0, 0, 63, 0, 0, 0, 0, 0, 0, 0, 2, 4, 69
"c:\Git\videoportal2\frontend\src\components\Comment\Comment.tsx", "TypeScript JSX", 0, 0, 0, 0, 20, 0, 0, 0, 0, 0, 0, 0, 0, 4, 24
"c:\Git\videoportal2\frontend\src\components\DropDownMenu\DropDownMenu.tsx", "TypeScript JSX", 0, 0, 0, 0, 119, 0, 0, 0, 0, 0, 0, 0, 0, 7, 126
"c:\Git\videoportal2\frontend\src\components\DropDownMenu\ListItem.tsx", "TypeScript JSX", 0, 0, 0, 0, 16, 0, 0, 0, 0, 0, 0, 0, 0, 3, 19
"c:\Git\videoportal2\frontend\src\components\Forms\LoginForm.tsx", "TypeScript JSX", 0, 0, 0, 0, 119, 0, 0, 0, 0, 0, 0, 0, 0, 6, 125
